id,brand,car_model,type,desc,problem,datetime,status
482028,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹B柱异响 车内异响严重,"H93,H15,",2020-06-08,信息审核
482027,江淮汽车,江淮iEV6E,2017款 iEV6E,江淮iEV6E动力电池故障 无法充电,"H343,",2020-06-08,信息审核
482026,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车身异响 天窗异响,"H93,H15,H89,",2020-06-08,信息审核
482022,一汽-大众,迈腾,2009款 1.8TSI DSG 舒适型,一汽大众迈腾起步和刹车时车辆抖动	,"B84,E111,",2020-06-08,信息审核
482019,众泰汽车,众泰T600 Coupe,2017款 1.5T 自动 尊享型,众泰T600 Coupe售后维修配件一直缺货,"N318,",2020-06-08,厂家受理
482016,众泰汽车,众泰T600 Coupe,2017款 1.5T 自动 尊贵型,众泰T600Coupe方向盘调节旋钮无配件,"N318,",2020-06-08,厂家受理
482015,吉利汽车,帝豪,2017款 1.5L CVT 向上互联版 三厢 百万款,吉利帝豪发动机舱异响4S店拒绝保修,"A9,H146,I297,I293,J300,",2020-06-08,信息审核
482013,吉利汽车,博瑞,2015款 2.4L 舒适型,吉利博瑞变速箱渗油顿挫希望质保维修,"B19,B22,",2020-06-08,信息审核
482008,一汽吉林,森雅R7,2018款 R7C 1.6L 手动 豪华型,一汽吉林森雅R7发电机故障希望厂家处理,"H146,H73,",2020-06-08,信息审核
482006,大众（进口）,高尔夫（进口）,2014款 1.4TSI 豪华旅行版,进口大众高尔夫机电单元上壳体召回后无动力,"B96,B334,",2020-06-08,信息审核
482005,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜变速箱顿挫 怠速不稳,"A35,B19,H220,",2020-06-08,信息审核
482003,东南汽车,V3菱悦,2013款 1.5 手动 亲民版,东南V3菱悦车身严重生锈希望尽快处理,"H79,",2020-06-08,信息审核
482001,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越变速箱挡位灯不亮与宣传不符,"M279,",2020-06-08,信息审核
481997,广汽乘用车,传祺GA3S视界,2014款 1.6L 手动 豪华版,广汽传祺GS3S视界车门生锈底盘生锈,"H79,",2020-06-08,信息审核
481996,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,长安CS75 PLUS天窗漏水导致电器短路,"H90,",2020-06-08,信息审核
481994,上汽通用五菱,五菱宏光,2019款 1.5L S 舒适型 国VI LAR,上汽通用五菱宏光变速箱异响高速时跳挡,"B33,B27,",2020-06-08,信息审核
481993,长城汽车,哈弗M6,2019款 1.5T 手动 两驱 精英型 国VI,哈弗M6冷车启动后发动机出现异响,"A9,",2020-06-08,厂家受理
481990,上汽集团,名爵6,2019款 20T 自动 运动版,上汽名爵6发动机缸体漏油要求换车,"A12,",2020-06-08,厂家受理
481988,长安马自达,马自达3 昂克赛拉,2017款 1.5L 手动 舒适型 三厢 国V,长安马自达昂克赛拉发动机无法启动,"A44,J301,M284,",2020-06-08,厂家受理
481986,一汽奔腾,奔腾B50,2016款 1.6L 手动 豪华型,一汽奔腾B50空调系统故障频繁无保障,"H101,I297,",2020-06-08,信息审核
481985,吉利汽车,远景,2019款 升级版 1.5L 手动 豪华型 国VI,吉利远景上坡行驶踩油门时无法提速,"C17,",2020-06-08,信息审核
481983,上汽大众,凌渡,2015款 280TSI DSG 豪华版,上汽大众凌渡车内异味影响身体健康,"H185,",2020-06-08,信息审核
481982,江淮汽车,嘉悦A5,2020款 1.5T CVT 超越型,江淮嘉悦A5发动机异响 车窗漏风 油耗高,"A9,A85,B20,H144,",2020-06-08,处理反馈
481981,上汽斯柯达,速派,2018款 TSI330 DSG 舒适版 国VI,斯柯达速派后视镜天窗异响希望厂家处理,"H89,H211,",2020-06-08,信息审核
481978,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 进取致雅型,一汽大众奥迪Q3新车一年不到天窗多次漏水,"H90,J298,",2020-06-08,信息审核
481977,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越未配备行车记录仪厂家推诿不处理	,"I295,I281,M279,",2020-06-08,信息审核
481975,宝沃汽车,宝沃BX5,2017款 20T GDI 自动 两驱 领先型,宝沃BX5变速箱切换挡位逻辑不合理,"B19,H155,",2020-06-08,厂家受理
481974,南京依维柯,依维柯得意,2017款 2.8T V35 箱货 中顶 3/6座 43S5,南京依维柯得意发动机烧机油排气管冒蓝烟,"A9,A63,A114,A136,",2020-06-08,信息审核
481971,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8发动机故障灯亮维修未解决问题,"A34,J298,",2020-06-08,信息审核
481968,多士星,箱货,危化车,多士星危化车整车质量超重希望尽快处理,"M284,",2020-06-08,信息审核
481966,奇瑞捷豹路虎,捷豹XFL,2017款 2.0T 豪华版 240PS,奇瑞捷豹路虎XFL保险杠掉漆4S店销售问题车,"H81,M284,",2020-06-08,用户评分
481964,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国V,广汽丰田汉兰达刹车片异常磨损更换未解决,"E47,",2020-06-08,处理反馈
481963,南京依维柯,依维柯得意,2017款 2.5T A40 客车 7座 47Z5,依维柯得意经销商疑似出售受损问题车,"B33,M284,",2020-06-08,信息审核
481962,上汽大众,朗逸,2013款 1.6L 手动 舒适版 改款,上汽大众朗逸车内异味希望厂家处理,"H185,",2020-06-08,信息审核
481961,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯起雾模糊导致亮度不足,"H82,",2020-06-08,信息审核
481960,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身AB柱异响希望厂家处理,"H15,",2020-06-08,处理反馈
481959,吉利汽车,博越,2016款 1.8TD 自动 两驱 智尊型,吉利博越助力油加入变速箱导致损毁,"J300,J303,J299,",2020-06-08,信息审核
481957,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,东风标致3008发动机烧机油非常严重,"A63,",2020-06-08,信息审核
481954,奔驰（进口）,奔驰GLS,2018款 GLS 400 4MATIC 动感型 改款,进口奔驰GLS引擎盖掉漆 4S店态度恶劣,"H81,I293,I292,",2020-06-08,信息审核
481946,长安标致雪铁龙DS,DS5,2014款 1.6T 豪华版THP200,长安标致雪铁龙DS5烧机油 高压油泵故障,"A63,H78,",2020-06-08,信息审核
481945,上汽通用五菱,宝骏E200,2019款 250KM 智享版,宝骏E200车辆ABS与ESP故障灯多次报警,"E74,H170,",2020-06-08,处理反馈
481940,上汽集团,名爵ZS,2019款 1.5L 自动 全球豪华版 国VI,上汽名爵ZS方向跑偏发动机提速慢服务差,"A11,G225,I295,I297,",2020-06-08,厂家受理
481930,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统卡顿系统版本无法升级,"H155,M279,",2020-06-08,信息审核
481929,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹B柱及中控台行驶中异响,"H93,H15,",2020-06-08,处理反馈
481927,吉利汽车,帝豪GS,2018款 1.8L 自动 优雅版 领尚型,吉利帝豪GS坡道起步动力瞬间消失,"A255,J298,J301,",2020-06-08,信息审核
481924,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 耀享型,吉利嘉际车机系统无法升级备胎异常磨损,"H157,O348,",2020-06-08,处理反馈
481922,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国VI,上汽大众凌渡低速降挡时变速箱异响,"B33,I295,",2020-06-08,信息审核
481921,东风雪铁龙,雪铁龙C5,2014款 2.0L 自动 尊享型,东风雪铁龙C5行驶过程中车身左右摇晃,"G162,",2020-06-08,处理反馈
481920,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,一汽大众速腾新车车身多处出现划痕,"M284,",2020-06-08,处理反馈
481915,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国V,一汽大众奥迪A4L上摆臂断裂导致方向失控,"H168,",2020-06-08,信息审核
