id,brand,car_model,type,desc,problem,datetime,status
484429,一汽-大众,速腾,2015款 1.6L  自动 舒适型,一汽大众速腾4S店收取上牌费用却未上牌,"K307,",2020-06-15,厂家受理
484427,一汽奔腾,奔腾B50,2016款 1.6L 手动 豪华型,一汽奔腾B50空调系统故障厂家未回复,"H101,I294,",2020-06-15,信息审核
484424,一汽马自达,阿特兹,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹行驶中车内中控台异响,"H164,H93,",2020-06-15,信息审核
484422,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越厂家减配挡位指示灯前雾灯,"N317,Q350,",2020-06-15,厂家受理
484419,一汽丰田,卡罗拉,2017款 1.2T CVT GL,一汽丰田卡罗拉发动机排气管支架断裂,"H168,",2020-06-15,信息审核
484417,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL-i智辉版,一汽丰田卡罗拉行驶中车内异响严重,"H164,N317,",2020-06-15,信息审核
484416,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客优科豪马轮胎鼓包起皮,"F186,",2020-06-15,信息审核
484414,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁动力电池冷却系统失效,"H345,",2020-06-15,信息审核
484413,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 豪华型,长安CS75 PLUS机油无故缺失4S店不解决,"A12,",2020-06-15,信息审核
484408,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408发动机故障灯亮抖动熄火,"A24,A34,A14,",2020-06-15,信息审核
484407,东风雪铁龙,C4世嘉,2016款 1.6L 自动 舒适型,东风雪铁龙C4世嘉方向盘会左右晃动,"D80,D337,",2020-06-15,信息审核
484405,上汽斯柯达,昊锐,2010款 1.4TSI DSG 智雅版,斯柯达昊锐车内异味刺鼻影响身体健康,"H185,",2020-06-15,信息审核
484404,上汽集团,荣威RX8,2018款 30T 两驱 智联网 旗舰版 7座,上汽荣威RX8发动机大修后异响厂家不处理,"A9,A38,I295,I294,J300,J299,",2020-06-15,信息审核
484403,吉利汽车,远景X6,2018款 1.4T CVT 4G互联旗舰型,吉利远景X6转向时底盘有异响希望厂家处理,"D59,G56,",2020-06-15,处理反馈
484401,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机卡顿与宣传不符 多项功能缺失,"H155,M279,",2020-06-15,处理反馈
484399,一汽马自达,阿特兹,2020款 2.5L 蓝天尊崇版,一汽马自达阿特兹AB柱异响 天窗及中控异响,"H93,H15,H89,",2020-06-15,信息审核
484398,东风标致,标致508,2015款 1.6THP 自动 致臻版,东风标致508发动机涡轮增压电磁阀故障,"A189,",2020-06-15,信息审核
484395,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁低频共振噪音大影响使用,"H268,",2020-06-15,信息审核
484392,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身后备箱异响 天窗异响,"H15,H89,",2020-06-15,信息审核
484389,东风标致,标致4008,2019款 改款 360THP 尝先版,东风标致4008发动机抖动 噪音大,"A24,A38,",2020-06-15,信息审核
