产品类别,产品ID,产品型号,产品名称
配件,528,Mountain Tire Tube,车胎和内胎
配件,480,Patch kit,车胎和内胎
配件,537,HL Mountain Tire,车胎和内胎
配件,529,Road Tire Tube,车胎和内胎
配件,536,ML Mountain Tire,车胎和内胎
配件,530,Touring Tire Tube,车胎和内胎
配件,540,HL Road Tire,车胎和内胎
配件,538,LL Road Tire,车胎和内胎
配件,541,Touring Tire,车胎和内胎
配件,539,ML Road Tire,车胎和内胎
配件,535,LL Mountain Tire,车胎和内胎
自行车,377,Road-250,公路自行车
自行车,368,Road-250,公路自行车
自行车,373,Road-250,公路自行车
自行车,369,Road-250,公路自行车
自行车,370,Road-250,公路自行车
自行车,375,Road-250,公路自行车
自行车,379,Road-250,公路自行车
自行车,371,Road-250,公路自行车
自行车,383,Road-550-W,公路自行车
自行车,387,Road-550-W,公路自行车
自行车,381,Road-550-W,公路自行车
自行车,385,Road-550-W,公路自行车
自行车,389,Road-550-W,公路自行车
自行车,330,Road-650,公路自行车
自行车,338,Road-650,公路自行车
自行车,340,Road-650,公路自行车
自行车,326,Road-650,公路自行车
自行车,336,Road-650,公路自行车
自行车,332,Road-650,公路自行车
自行车,334,Road-650,公路自行车
自行车,342,Road-650,公路自行车
自行车,320,Road-650,公路自行车
自行车,328,Road-650,公路自行车
自行车,324,Road-650,公路自行车
自行车,337,Road-650,公路自行车
自行车,333,Road-650,公路自行车
自行车,325,Road-650,公路自行车
自行车,323,Road-650,公路自行车
自行车,329,Road-650,公路自行车
自行车,341,Road-650,公路自行车
自行车,343,Road-650,公路自行车
自行车,335,Road-650,公路自行车
自行车,321,Road-650,公路自行车
自行车,331,Road-650,公路自行车
自行车,327,Road-650,公路自行车
自行车,339,Road-650,公路自行车
自行车,311,Road-150,公路自行车
自行车,310,Road-150,公路自行车
自行车,313,Road-150,公路自行车
自行车,314,Road-150,公路自行车
自行车,312,Road-150,公路自行车
自行车,346,Mountain-100,山地自行车
自行车,344,Mountain-100,山地自行车
自行车,347,Mountain-100,山地自行车
自行车,350,Mountain-100,山地自行车
自行车,345,Mountain-100,山地自行车
自行车,348,Mountain-100,山地自行车
自行车,351,Mountain-100,山地自行车
自行车,349,Mountain-100,山地自行车
自行车,360,Mountain-200,山地自行车
自行车,356,Mountain-200,山地自行车
自行车,352,Mountain-200,山地自行车
自行车,362,Mountain-200,山地自行车
自行车,354,Mountain-200,山地自行车
自行车,358,Mountain-200,山地自行车
配件,484,Bike Wash,清洁剂
配件,487,Hydration Pack,水袋背包
配件,486,All-Purpose Bike Stand,自行车支架
配件,483,Hitch Rack - 4-Bike,挂架
自行车,560,Touring-2000,旅行自行车
自行车,578,Touring-2000,旅行自行车
自行车,579,Touring-2000,旅行自行车
自行车,565,Touring-3000,旅行自行车
自行车,566,Touring-3000,旅行自行车
自行车,586,Touring-3000,旅行自行车
自行车,572,Touring-3000,旅行自行车
自行车,585,Touring-3000,旅行自行车
自行车,577,Touring-2000,旅行自行车
自行车,569,Touring-3000,旅行自行车
自行车,568,Touring-3000,旅行自行车
自行车,570,Touring-3000,旅行自行车
自行车,567,Touring-3000,旅行自行车
自行车,571,Touring-3000,旅行自行车
自行车,573,Touring-1000,旅行自行车
自行车,564,Touring-1000,旅行自行车
自行车,576,Touring-1000,旅行自行车
自行车,574,Touring-1000,旅行自行车
自行车,561,Touring-1000,旅行自行车
自行车,563,Touring-1000,旅行自行车
自行车,562,Touring-1000,旅行自行车
自行车,575,Touring-1000,旅行自行车
服装,463,Half-Finger Gloves,手套
服装,465,Half-Finger Gloves,手套
服装,467,Half-Finger Gloves,手套
服装,471,Classic Vest,背心
服装,473,Classic Vest,背心
服装,472,Classic Vest,背心
服装,475,Women's Mountain Shorts,短裤
服装,474,Women's Mountain Shorts,短裤
服装,476,Women's Mountain Shorts,短裤
服装,237,Long-Sleeve Logo Jersey,骑行服
服装,234,Long-Sleeve Logo Jersey,骑行服
服装,228,Long-Sleeve Logo Jersey,骑行服
服装,231,Long-Sleeve Logo Jersey,骑行服
服装,490,Short-Sleeve Classic Jersey,骑行服
服装,489,Short-Sleeve Classic Jersey,骑行服
服装,491,Short-Sleeve Classic Jersey,骑行服
服装,488,Short-Sleeve Classic Jersey,骑行服
服装,482,Racing Socks,袜子
服装,481,Racing Socks,袜子
服装,225,Cycling Cap,帽子
配件,485,Fender Set - Mountain,挡泥板
自行车,593,Mountain-500,山地自行车
自行车,598,Mountain-500,山地自行车
自行车,599,Mountain-500,山地自行车
自行车,595,Mountain-500,山地自行车
自行车,594,Mountain-500,山地自行车
自行车,596,Mountain-500,山地自行车
自行车,589,Mountain-400-W,山地自行车
自行车,590,Mountain-400-W,山地自行车
自行车,588,Mountain-400-W,山地自行车
自行车,600,Mountain-500,山地自行车
自行车,587,Mountain-400-W,山地自行车
自行车,597,Mountain-500,山地自行车
自行车,591,Mountain-500,山地自行车
自行车,592,Mountain-500,山地自行车
自行车,353,Mountain-200,山地自行车
自行车,355,Mountain-200,山地自行车
自行车,357,Mountain-200,山地自行车
自行车,363,Mountain-200,山地自行车
自行车,361,Mountain-200,山地自行车
自行车,359,Mountain-200,山地自行车
自行车,388,Road-550-W,公路自行车
自行车,382,Road-550-W,公路自行车
自行车,384,Road-550-W,公路自行车
自行车,386,Road-550-W,公路自行车
自行车,390,Road-550-W,公路自行车
自行车,378,Road-250,公路自行车
自行车,581,Road-350-W,公路自行车
自行车,374,Road-250,公路自行车
自行车,580,Road-350-W,公路自行车
自行车,582,Road-350-W,公路自行车
自行车,583,Road-350-W,公路自行车
自行车,376,Road-250,公路自行车
自行车,372,Road-250,公路自行车
自行车,380,Road-250,公路自行车
自行车,606,Road-750,公路自行车
自行车,604,Road-750,公路自行车
自行车,605,Road-750,公路自行车
自行车,584,Road-750,公路自行车
配件,222,Sport-100,头盔
配件,217,Sport-100,头盔
配件,214,Sport-100,头盔
配件,478,Mountain Bottle Cage,水壶和水壶架
配件,479,Road Bottle Cage,水壶和水壶架
配件,477,Water Bottle,水壶和水壶架
自行车,322,Road-650,公路自行车
