日期,年度,季度,月份,日,年度季度,年度月份,星期几
2013/7/1,2013,Q3,7,1,2013Q3,201307,1
2013/7/2,2013,Q3,7,2,2013Q3,201307,2
2013/7/3,2013,Q3,7,3,2013Q3,201307,3
2013/7/4,2013,Q3,7,4,2013Q3,201307,4
2013/7/5,2013,Q3,7,5,2013Q3,201307,5
2013/7/6,2013,Q3,7,6,2013Q3,201307,6
2013/7/7,2013,Q3,7,7,2013Q3,201307,7
2013/7/8,2013,Q3,7,8,2013Q3,201307,1
2013/7/9,2013,Q3,7,9,2013Q3,201307,2
2013/7/10,2013,Q3,7,10,2013Q3,201307,3
2013/7/11,2013,Q3,7,11,2013Q3,201307,4
2013/7/12,2013,Q3,7,12,2013Q3,201307,5
2013/7/13,2013,Q3,7,13,2013Q3,201307,6
2013/7/14,2013,Q3,7,14,2013Q3,201307,7
2013/7/15,2013,Q3,7,15,2013Q3,201307,1
2013/7/16,2013,Q3,7,16,2013Q3,201307,2
2013/7/17,2013,Q3,7,17,2013Q3,201307,3
2013/7/18,2013,Q3,7,18,2013Q3,201307,4
2013/7/19,2013,Q3,7,19,2013Q3,201307,5
2013/7/20,2013,Q3,7,20,2013Q3,201307,6
2013/7/21,2013,Q3,7,21,2013Q3,201307,7
2013/7/22,2013,Q3,7,22,2013Q3,201307,1
2013/7/23,2013,Q3,7,23,2013Q3,201307,2
2013/7/24,2013,Q3,7,24,2013Q3,201307,3
2013/7/25,2013,Q3,7,25,2013Q3,201307,4
2013/7/26,2013,Q3,7,26,2013Q3,201307,5
2013/7/27,2013,Q3,7,27,2013Q3,201307,6
2013/7/28,2013,Q3,7,28,2013Q3,201307,7
2013/7/29,2013,Q3,7,29,2013Q3,201307,1
2013/7/30,2013,Q3,7,30,2013Q3,201307,2
2013/7/31,2013,Q3,7,31,2013Q3,201307,3
2014/7/1,2014,Q3,7,1,2014Q3,201407,2
2014/7/2,2014,Q3,7,2,2014Q3,201407,3
2014/7/3,2014,Q3,7,3,2014Q3,201407,4
2014/7/4,2014,Q3,7,4,2014Q3,201407,5
2014/7/5,2014,Q3,7,5,2014Q3,201407,6
